"callsign","adep","ades","actualLandingTime"
"MAS727","WMKK","WIII","2024-06-30T16:12:26.000Z"
"PAS203","WARR","WIII","2024-06-30T14:19:38.000Z"
"PAS105","WADD","WIII","2024-06-30T14:43:13.000Z"
"CTV5527","WSSS","WIII","2024-06-30T15:35:16.000Z"
"SJV851","WIDD","WIII","2024-06-30T14:58:56.000Z"
"SJV915","WIBB","WIII","2024-06-30T14:16:04.000Z"
"SJV907","WIEE","WIII","2024-06-30T14:31:48.000Z"
"CTV9721","WARR","WIII","2024-06-30T15:29:24.000Z"
"SJV847","WIJJ","WIII","2024-06-30T15:46:57.000Z"
"GIA7711","WILL","WIII","2024-06-30T15:21:17.000Z"
"GIA2170","WAHH","WIII","2024-06-30T14:37:14.000Z"
"SJV905","WIEE","WIII","2024-06-30T16:39:51.000Z"
"CTV719","WARR","WIII","2024-07-07T16:16:52.000Z"
"GIA613","WAAA","WIII","2024-07-07T15:09:36.000Z"
"GIA313","WARR","WIII","2024-07-07T14:29:17.000Z"
"GIA193","WIMM","WIII","2024-07-07T14:53:59.000Z"
"BTK6275","WAMM","WIII","2024-07-07T15:04:04.000Z"
"CTV979","WIMM","WIII","2024-07-07T14:02:53.000Z"
"CTV691","WADD","WIII","2024-07-07T15:07:09.000Z"
"AWQ817","WADD","WIII","2024-07-07T15:55:16.000Z"
"LNI703","WAAA","WIII","2024-07-07T15:00:55.000Z"
"AWQ811","WADD","WIII","2024-07-07T16:09:01.000Z"
"LNI383","WIMM","WIII","2024-07-07T16:19:12.000Z"
"CTV427","WAAA","WIII","2024-07-07T15:45:49.000Z"
"BTK6575","WARR","WIII","2024-07-07T15:48:17.000Z"
"CTV777","WAHI","WIII","2024-07-07T14:05:59.000Z"
"BTK6269","WAAA","WIII","2024-07-07T15:37:46.000Z"
"CTV889","WIPP","WIII","2024-07-07T14:56:55.000Z"
"BTK6231","WAAA","WIII","2024-07-07T15:12:07.000Z"
"SVA826","OEMA","WIII","2024-07-07T15:40:07.000Z"
"SJV699","WIOO","WIII","2024-07-07T15:13:01.000Z"
"BTK6511","WADD","WIII","2024-07-07T14:25:11.000Z"
"LNI717","WIOO","WIII","2024-07-07T14:36:04.000Z"
"BTK8673","WALS","WIII","2024-07-07T14:13:27.000Z"
"TNU680","WMKK","WIII","2024-07-07T15:33:24.000Z"
"TNU652","WMKJ","WIII","2024-07-07T16:40:10.000Z"
"CTV969","WIDD","WIII","2024-07-07T14:05:49.000Z"
"SJV889","WIMM","WIII","2024-07-07T15:29:49.000Z"
